だれが,なにを,エリア,どこで,施設名,住所,電話番号
障がいのある方・車いす使用者,見る,福岡エリア,福津市,津屋崎千軒民俗館「藍の家」,811‐3304　福岡県福津市津屋崎四丁目14番20号,0940520605
障がいのある方・車いす使用者,見る,福岡エリア,朝倉市,朝倉市秋月博物館,838‐0011　福岡県朝倉市秋月野鳥532,0946250405
障がいのある方・車いす使用者,見る,福岡エリア,朝倉市,朝倉市総合市民センター(ピーポート甘木) 大ホール,838‐0068　福岡県朝倉市甘木198-1,0946220001
障がいのある方・車いす使用者,見る,福岡エリア,朝倉市,甘木歴史資料館,838‐0068　福岡県朝倉市甘木216-2,0946227515
障がいのある方・車いす使用者,見る,福岡エリア,朝倉市,あまぎ水の文化村,838‐0021　福岡県朝倉市矢野竹831,0946250323
障がいのある方・車いす使用者,見る,福岡エリア,糸島市,糸島市立　伊都国歴史博物館,819‐1582　福岡県糸島市井原９１６番地,0923227083
障がいのある方・車いす使用者,見る,福岡エリア,糸島市,糸島市立　志摩歴史資料館,819‐1312　福岡県糸島市志摩初1番地3,0923274422
障がいのある方・車いす使用者,見る,福岡エリア,篠栗町,南蔵院,811‐2405　福岡県糟屋郡篠栗町大字篠栗1035,0929477195
障がいのある方・車いす使用者,見る,福岡エリア,須恵町,須恵町立美術センター　久我記念館,811‐2113　福岡県糟屋郡須恵町大字須恵77－1,0929324987
障がいのある方・車いす使用者,見る,福岡エリア,須恵町,須恵町立歴史民俗資料館,811‐2114　福岡県糟屋郡須恵町大字上須恵21－3,0929326312
障がいのある方・車いす使用者,見る,福岡エリア,筑前町,筑前町立太刀洗平記念館,福岡県筑前町高田2561番地1,-
障がいのある方・車いす使用者,見る,福岡エリア,筑前町,筑前町めくばーる町民ホール,838‐0802　福岡県朝倉郡筑前町久光951-1,0946248762
障がいのある方・車いす使用者,見る,福岡エリア,筑前町,筑前町立大刀洗平和記念館,838‐0814　福岡県朝倉郡筑前町高田2561-1,0946231227
障がいのある方・車いす使用者,見る,福岡エリア,東峰村,小石原焼伝統産業会館,838‐1601　福岡県東峰村小石原７３０-９,0946742266
障がいのある方・車いす使用者,見る,筑後エリア,大牟田市,大牟田市石炭産業科学館,836‐0037　福岡県大牟田市岬町６−２３,0944532377
障がいのある方・車いす使用者,見る,筑後エリア,大牟田市,三池カルタ・歴史資料館,大牟田市宝坂町2-2-3,0944538780
障がいのある方・車いす使用者,見る,筑後エリア,大牟田市,大牟田市動物園,大牟田市昭和町163,0944564526
障がいのある方・車いす使用者,見る,筑後エリア,大牟田市,大牟田文化会館,大牟田市不知火町2-10-2,0944553131
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,六ツ門図書館,830‐0031　久留米市六ツ門町3-11,0942395620
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,石橋文化ホール,839‐0862　久留米市野中町1015,0942332271
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,城島総合文化センター,830‐0211　久留米市城島町楢津1-1,0942622110
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,文化センター共同ホール,839‐0862　久留米市野中町1015,0942332271
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,石橋文化会館,839‐0862　久留米市野中町1015,0942332271
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,有馬記念館,830‐0021　久留米市篠山町444,0942398485
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,中央図書館,839‐0862　久留米市野中町970-1,0942387116
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,福岡県青少年科学館,830‐0003　久留米市東櫛原町1713,0942375566
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,石橋正二郎記念館,839‐0862　久留米市野中町1015,0942391131
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,久留米市世界のつばき館,839‐0837　久留米市草野町矢作490-2,0942471821
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,久留米市美術館,839‐0862　久留米市野中町1015,0942391131
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,久留米シティプラザ,830‐0031　久留米市六ツ門町8−1,0942363000
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,久留米観光コンベンション国際交流協会田主丸事務所（たぬしまる駅）,839‐1233　久留米市田主丸町田主丸1015-2,0943724956
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,山辺道文化館,839‐0835　久留米市草野町草野４８７−１,0942473015
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,北野図書館（コスモすまいる北野内）,830‐1113　久留米市北野町中3253,0942231151
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,田主丸図書館（そよ風ホール内）,839‐1233　久留米市田主丸町田主丸770-1,0943734031
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,城島図書館（総合文化センター内）,830‐0211　久留米市城島町楢津1-1,0942621777
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,田主丸そよ風ホール,839‐1233　久留米市田主丸町田主丸770-1,0943744000
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,坂本繁二郎生家,830‐0028　久留米市京町224-1,0942358260
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,久留米市埋蔵文化財センター,830‐0037　久留米市諏訪野町1830-6,0942344995
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,三潴図書館,830‐0112　久留米市三潴町玉満2949-1,0942646010
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,筑後川防災施設 くるめウス,839‐0865　久留米市新合川1-1-3,0942455042
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,久留米つばき園,839‐0825　久留米市草野町草野546-1,0942309165
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,久留米市民会館,830‐0022　福岡県久留米市城南町16-1,0942392500
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,坂本繁二郎生家,830‐0028　福岡県久留米市京町224-1,-
障がいのある方・車いす使用者,見る,筑後エリア,久留米市,有馬記念館,830‐0021　福岡県久留米市篠山町444,0942398485
障がいのある方・車いす使用者,見る,筑後エリア,柳川市,北原白秋生家・記念館,832‐0065　福岡県柳川市沖端町55－1,0944738940
障がいのある方・車いす使用者,見る,筑後エリア,柳川市,柳川古文書館,832‐0021　福岡県柳川市隅町71-2None,0944721037
障がいのある方・車いす使用者,見る,筑後エリア,柳川市,公益財団法人立花財団　立花家史料館,832‐0069　福岡県柳川市新外町1（国指定名勝 立花氏庭園内）,0944777888
障がいのある方・車いす使用者,見る,筑後エリア,八女市,八女市岩戸山歴史文化交流館いわいの郷,834‐0006　福岡県八女市吉田1562-1,0943243200
障がいのある方・車いす使用者,見る,筑後エリア,八女市,八女市田崎廣助美術館,834‐0075　福岡県八女市立花町原島108-1,0943248304
障がいのある方・車いす使用者,見る,筑後エリア,筑後市,サザンクス筑後,833‐0047　福岡県筑後市大字若菜1104番地,0942541200
障がいのある方・車いす使用者,見る,筑後エリア,筑後市,筑後広域公園芸術文化交流施設　九州芸文館,833‐0015　福岡県筑後市津島1131,0942526435
障がいのある方・車いす使用者,見る,筑後エリア,筑後市,九州芸文館,833‐0015　福岡県筑後市大字津島1131,0942526435
障がいのある方・車いす使用者,見る,筑後エリア,小郡市,九州歴史資料館,838‐0106　福岡県小郡市三沢5208-3,0942759575
障がいのある方・車いす使用者,見る,筑後エリア,うきは市,うきは市文化会館,839‐1321　福岡県うきは市吉井町1001-4,0943753343
障がいのある方・車いす使用者,見る,筑豊エリア,直方市,直方谷尾美術館,822‐0017　福岡県直方市殿町10-35,0949220038
障がいのある方・車いす使用者,見る,筑豊エリア,飯塚市,旧伊藤伝右衛門邸,820‐0066　福岡県飯塚市幸袋300番地,-
障がいのある方・車いす使用者,見る,筑豊エリア,飯塚市,飯塚市歴史資料館,820‐0011　福岡県飯塚市柏の森959-1,0948252930
障がいのある方・車いす使用者,見る,筑豊エリア,田川市,田川市美術館,825‐0016　福岡県田川市新町11-56,0947426161
障がいのある方・車いす使用者,見る,筑豊エリア,田川市,田川青少年文化ホール,826‐0032　福岡県田川市平松町3番36号,0947446470
障がいのある方・車いす使用者,見る,筑豊エリア,田川市,田川市立図書館,825‐0016　福岡県田川市新町11-61,0947440384
障がいのある方・車いす使用者,見る,筑豊エリア,田川市,田川市石炭・歴史博物館,825‐0002　福岡県田川市大字伊田2734-1,0947445745
障がいのある方・車いす使用者,見る,筑豊エリア,田川市,田川文化センター,826‐0032　福岡県田川市平松町3番36号,0947446470
障がいのある方・車いす使用者,見る,筑豊エリア,嘉麻市,嘉麻市碓井郷土館（織田廣喜美術館内）,820‐0502　嘉麻市上臼井767番地,0948625720
障がいのある方・車いす使用者,見る,筑豊エリア,嘉麻市,嘉麻市碓井平和祈念館,820‐0502　嘉麻市上臼井767番地,0948625720
障がいのある方・車いす使用者,見る,筑豊エリア,桂川町,王塚装飾古墳館,820‐0603　福岡県嘉穂郡桂川町寿命376,0948652900
障がいのある方・車いす使用者,見る,筑豊エリア,糸田町,糸田町民会館・図書館・歴史資料館,822‐1392　福岡県田川郡糸田町2023番地1,0947260038
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,明専会館,804‐0021　福岡県北九州市戸畑区一枝1-3-60,0938715511
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,めかり　パーキングエリア,801‐0855　福岡県北九州市門司区大字門司349,0933322655
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,もち吉　東小倉店,802‐0021　福岡県北九州市小倉北区高浜1−2−1,-
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,本家山賊鍋ひびきの店,807‐0807　福岡県北九州市八幡西区本城学研台１丁目３−１０５,0936920775
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,レストラン　海峡ダイニング,801‐0853　福岡県北九州市門司区東港町6-72,0933216127
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,ピエトロ・バルコーネ　永犬丸店,807‐0851　福岡県北九州市八幡西区八枝4丁目2-22,0936950852
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,（株）リンガーハット　戸畑バイパス店,804‐0021　福岡県北九州市戸畑区一枝4-12-4,0938830072
障がいのある方・車いす使用者,食べる,北九州エリア,北九州市,千草ホテル,805‐0061　福岡県北九州市八幡東区西本町1-1-1,0936711131
障がいのある方・車いす使用者,食べる,北九州エリア,中間市,ロイヤルホスト　中間店,809‐0014　福岡県中間市蓮花寺2-3-12,0932447856
障がいのある方・車いす使用者,食べる,北九州エリア,中間市,MKレストラン　中間店,809‐0014　福岡県中間市蓮花寺2-3-1,0932435885
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,鮮魚市場,810‐0072　福岡県福岡市中央区長浜3-11-3,0927116412
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,パピヨン２４,812‐0044　福岡県福岡市博多区千代1-17-1,0926332222
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,ローソン　藤崎駅前店,814‐0011　福岡県福岡市早良区高取2-18-6,0928212194
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,もち吉　福重店,福岡県福岡市西区福重３丁目６-２８,-
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,もち吉　土井店,813‐0031　福岡県福岡市東区八田1−5−36,-
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,フォルクス　博多駅南店,812‐0016　福岡県福岡市博多区博多駅南3-16-27,0924810846
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,福新楼,810‐0001　福岡県福岡市中央区天神2-3-33,0927713141
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,ピエトロ　セントラーレ,810‐0001　福岡県福岡市中央区天神3-4-5,0927158281
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,クール・ド・マキイ,810‐0014　福岡県福岡市中央区平尾5-17-11,0925343224
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,MKレストラン　土井店,813‐0032　福岡県福岡市東区土井2-275-1,0926636930
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,（株）八仙閣,812‐0013　福岡県福岡市博多区博多駅東2-7-7,-
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,リンガーハット　福岡橋本店,福岡県福岡市西区橋本2-15-3,-
障がいのある方・車いす使用者,食べる,福岡エリア,福岡市,リンガーハット　福岡東那珂店,福岡県福岡市博多区東那珂2-8-24,-
障がいのある方・車いす使用者,食べる,福岡エリア,春日市,MKレストラン　井尻南店,816‐0872　福岡県春日市桜ヶ丘2-17,0925896678
障がいのある方・車いす使用者,食べる,福岡エリア,福津市,ドラッグストアコスモス　福間店,811‐3218　福岡県福津市手光南1-2092-2,0940358755
障がいのある方・車いす使用者,食べる,福岡エリア,朝倉市,ＪＡ筑前あさくら志波柿選果場,838‐1521　福岡県朝倉市杷木志波４９６０,-
障がいのある方・車いす使用者,食べる,福岡エリア,糸島市,ステーキガーデン 糸島風の邱,819‐1137　福岡県糸島市南風台8-2-1,0923308800
障がいのある方・車いす使用者,食べる,福岡エリア,新宮町,新宮ふれあいの丘公園,811‐0111　福岡県糟屋郡新宮町三代1032-1,0929635500
障がいのある方・車いす使用者,食べる,筑後エリア,久留米市,久留米市一番街多目的ギャラリー,830‐0032　久留米市東町２６−８,0942393030
障がいのある方・車いす使用者,食べる,筑後エリア,久留米市,びっくりドンキー久留米インター店,839‐0809　久留米市東合川1-8-25,0942440166
障がいのある方・車いす使用者,食べる,筑後エリア,久留米市,カフェ＆ギャラリーショップ楽水亭,839‐0862　久留米市野中町1015,0942332271
障がいのある方・車いす使用者,食べる,筑後エリア,久留米市,うな徳,830‐0001　久留米市小森野2丁目16番36号,0942355611
障がいのある方・車いす使用者,食べる,筑後エリア,久留米市,ガレットの店「れん」,830‐0001　久留米市小森野4丁目8番10号,0942658815
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,ジャーマンベーカリー 飯塚花瀬店,820‐0045　飯塚市花瀬71-1,0948433908
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,めんの里 あぐんちゃ,820‐0071　飯塚市忠隈489-1,0948211188
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,カレーハウスCOCO壱番屋 飯塚柏の森店,820‐0011　飯塚市柏の森153-3,0948260006
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,炭火串焼 弥一,820‐0005　飯塚市新飯塚15-4,0948269481
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,うどんウエスト 飯塚店,820‐0081　飯塚市枝国216-4,0948291946
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,石窯Grill&Wine Dining TETE,820‐0005　飯塚市新飯塚15-10,0948237531
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,ご馳走家 むつごろう,820‐0005　飯塚市新飯塚15-5,0948223816
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,桜道場,820‐0021　飯塚市潤野8-75,0948285710
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,モスバーガー 飯塚幸袋店,820‐0065　飯塚市中426-1,0948265131
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,マクドナルド 穂波パークシティ店,820‐0031　飯塚市西徳前336-3,0948254120
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,リンガーハット 飯塚近大前店,820‐0112　飯塚市有井354-23,0948822639
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,中華料理　陽山,820‐0033　飯塚市徳前62-1,0948251786
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,筑豊ラーメン山小屋 穂波店,820‐0074　飯塚市楽市630-1,0948283371
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,お茶とお食事処森山,820‐0101　飯塚市綱分1806-2,0948823007
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,焼肉開山　庄内店,820‐0101　飯塚市綱分1712-5,0948311071
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,回転寿司 一太郎,820‐0001　飯塚市鯰田1526-179,0948210148
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,クイーンクックカフェ,820‐0046　飯塚市大日寺1574-2,0948254888
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,アルクカフェ,820‐0067　飯塚市川津271-2,0948240018
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,牛角飯塚店,820‐0088　飯塚市弁分159-8,0948227429
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,有限会社 瑞幸商事　ステーキハウス三田屋,820‐0076　飯塚市太郎丸757-13,0948293313
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,ウエスト飯塚店 焼肉コーナー,820‐0081　飯塚市枝国216-5,0948251220
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,ちろりん村とくるみの木,820‐0066　飯塚市幸袋239,0948245810
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,アバシ穂波店,820‐0083　飯塚市秋松919,0948268600
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,資さんうどん飯塚穂波店,820‐0088　飯塚市弁分23-2,0948433898
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,麺勝　頴田店,820‐1114　飯塚市口原29-1,0949622870
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,(有) ニューいいづか店,820‐0067　飯塚市川津357-3,0948240606
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,うちだ屋飯塚店,820‐0053　飯塚市伊岐須713-1,0948226193
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,パドドゥ・ル・コトブキ　Hiyori,820‐0068　飯塚市片島1-7-62,0948225138
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,のがみプレジデントホテル　宴会場,820‐0004　飯塚市新立岩12-37,0948223840
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,コメダ珈琲飯塚川津店,820‐0044　飯塚市横田65-7,0948221222
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,百花亭,820‐0011　飯塚市柏の森55-1,0948290317
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,焼肉開山　堀池店,820‐0070　飯塚市堀池138,0948296929
障がいのある方・車いす使用者,食べる,筑豊エリア,飯塚市,覇薇可否道,820‐0083　飯塚市秋松777-8,0948235492
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,炭火焼KEITON,825‐0004　福岡県田川市大字夏吉３６１−１,0947428100
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,雲龍,826‐0041　福岡県田川市大字弓削田3589-1,0947456383
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,炭火やきとり　よしむら,826‐0021　福岡県田川市桜町4-7,0947460608
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,小料理妙,825‐0018　福岡県田川市番田町6-26,0947447882
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,夢,825‐0015　福岡県田川市伊田町６−３４−１Ｆ,0947463148
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,ペルシャ,825‐0002　福岡県田川市伊田5000,0947458408
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,ラーメン一燈　藤崎家,825‐0002　福岡県田川市大字伊田4616,0947452727
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,白い鳥,826‐0045　福岡県田川市大字猪国1764-1,0947458309
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,SEA-DREAM,825‐0042　福岡県田川市大字川宮５３１−４,0947425253
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,ラバーズ,825‐0015　福岡県田川市伊田町2980-17-1Ｆ,0947462911
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,マヌカン・ピス田川店,826‐0042　福岡県田川市大字川宮1337-3,0947425380
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,旬香酒灯,825‐0002　福岡県田川市伊田4115-3,0947462300
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,もつ鍋専門店　鉄心,825‐0016　福岡県田川市新町21‐2　2階,0947427365
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,魚河岸,826‐0031　福岡県田川市千代町8-4丸の内ビル,0947425251
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,スナック　ギルビー,825‐0012　福岡県田川市日の出町5-30　訪問者ビル2階,0947422288
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,松山亭,825‐0004　福岡県田川市大字夏吉1334-4,0947451821
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,とり茶,826‐0022　福岡県田川市本町７−４,0947422551
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,ラーメン　岡本っちゃん,825‐0002　福岡県田川市大字伊田4224-4,0947440078
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,千の道,825‐0002　福岡県田川市大字伊田3844-12,0947428225
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,あおぎり,825‐0016　福岡県田川市新町２１−２８,0947491400
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,武蔵,826‐0022　福岡県田川市本町3-17,0947420634
障がいのある方・車いす使用者,食べる,筑豊エリア,田川市,ミートの森,825‐0002　福岡県田川市伊田50-4,0947453110
